segment_index,circle_index,center_x,center_y,diameter,x0,y0,x1,y1,top_left,top_right,bottom_right,bottom_left,bright_pixel_count
0,19,8271.374,6686.155,1542.265,7500,5915,9043,7458,7500:5915,9043:5915,9043:7458,7500:7458,20912
1,29,9266.388,8439.761,1526.617,8503,7676,10030,9204,8503:7676,10030:7676,10030:9204,8503:9204,179019
2,35,4304.924,10145.743,1574.922,3517,9358,5093,10934,3517:9358,5093:9358,5093:10934,3517:10934,166150
3,45,3301.406,11914.656,1624.588,2489,11102,4114,12727,2489:11102,4114:11102,4114:12727,2489:12727,250067
4,46,9302.106,11914.656,1589.890,8507,11119,10098,12710,8507:11119,10098:11119,10098:12710,8507:12710,52276
5,50,14287.383,13593.424,1559.274,13507,12813,15068,14374,13507:12813,15068:12813,15068:14374,13507:14374,56412
6,51,6296.654,13598.527,1579.685,5506,12808,7087,14389,5506:12808,7087:12808,7087:14389,5506:14389,31101
7,52,12282.046,13608.732,1574.582,11494,12821,13070,14397,11494:12821,13070:12821,13070:14397,11494:14397,89138
8,60,9312.312,15374.244,1612.341,8506,14568,10119,16181,8506:14568,10119:14568,10119:16181,8506:16181,84660
